"yob","sex","state","race","educ","ideo","pid_1","pid_2r","pid_2d","pid_2i","biden_approval","trump_approval","screener_2","screener_4","policy_educ","policy_tax","policy_immi","policy_mari","statement_1","statement_2","statement_3","statement_4","statement_5","statement_6","statement_7","statement_8","statement_9","statement_10","statement_11","statement_12","statement_13","statement_14","statement_15","statement_16","statement_17","statement_18","statement_19","statement_20","statement_21","statement_22","statement_23","statement_24","statement_25","statement_timer_First.Click","statement_timer_Last.Click","statement_timer_Page.Submit","statement_timer_Click.Count"
37,2,37,"1",1,5,2,NA,2,NA,2,2,1,1,2,3,2,2,60,61,NA,77,100,97,60,NA,NA,NA,NA,50,46,59,54,NA,73,NA,78,50,59,NA,NA,NA,80,2.212,56.616,63.379,42
14,1,39,"2",3,4,2,NA,2,NA,2,3,3,2,2,2,3,1,NA,26,28,37,6,NA,46,49,23,NA,NA,44,9,37,NA,NA,54,27,NA,38,NA,NA,67,42,NA,2.764,70.145,71.316,80
43,1,36,"1,6",4,3,3,NA,NA,2,2,4,3,1,1,2,2,2,81,NA,NA,83,77,NA,14,NA,NA,76,NA,NA,93,NA,28,63,NA,18,2,26,NA,67,6,13,36,20.296,119.296,122.845,20
7,1,34,"2",4,2,2,NA,2,NA,1,4,3,1,1,1,2,2,46,46,59,65,84,89,NA,NA,NA,NA,50,NA,NA,82,NA,26,NA,49,35,91,45,NA,NA,43,74,2.504,56.906,62.594,36
56,2,47,"1",5,2,3,NA,NA,2,1,4,3,2,1,1,2,2,97,52,NA,100,61,100,58,100,NA,NA,NA,NA,100,99,95,NA,100,11,NA,80,NA,11,NA,NA,10,12.545,293.791,296.975,81
49,2,36,"2",5,4,2,NA,1,NA,2,2,3,2,1,1,2,3,NA,NA,41,NA,NA,18,76,43,63,NA,NA,74,100,56,NA,44,NA,NA,60,66,44,60,82,NA,49,1.987,61.997,63.277,44
13,1,5,"4",2,7,1,1,NA,NA,4,1,3,2,2,1,4,4,0,NA,0,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,7.771,61.743,62.702,32
23,2,2,"1",2,3,3,NA,NA,1,4,1,3,2,2,3,2,1,NA,93,NA,81,46,58,94,100,100,NA,70,32,82,NA,29,47,NA,NA,NA,NA,61,30,NA,46,NA,13.947,105.08,106.135,31
40,1,14,"2",3,4,3,NA,NA,3,2,2,3,2,3,2,1,3,63,60,20,23,85,NA,NA,NA,NA,48,NA,NA,24,49,54,9,NA,NA,56,48,78,NA,51,54,NA,24.993,106.525,107.684,28
21,2,3,"1",5,7,2,NA,1,NA,1,4,3,1,1,3,3,1,56,3,7,6,1,85,3,100,NA,NA,NA,NA,NA,NA,24,NA,NA,4,66,NA,2,NA,1,23,2,5.881,97.221,99.139,46
26,2,36,"1",2,4,3,NA,NA,2,2,2,3,2,2,1,2,1,NA,23,25,NA,NA,29,34,35,17,22,NA,48,36,33,NA,29,42,NA,19,27,NA,NA,NA,28,NA,18.137,75.039,76.03,49
11,2,36,"2",2,4,2,NA,2,NA,4,1,3,2,1,3,2,2,0,0,NA,NA,4,72,NA,0,NA,10,NA,100,10,NA,NA,0,NA,0,NA,0,0,0,0,NA,15,5.58,94.092,94.925,50
17,2,44,"1",5,4,3,NA,NA,2,4,1,3,2,1,3,4,2,52,49,49,NA,46,46,NA,47,45,NA,NA,NA,46,51,48,NA,44,46,NA,NA,45,42,NA,45,NA,36.819,80.726,81.575,23
14,1,5,"3",2,4,2,NA,2,NA,4,2,3,2,2,2,2,1,26,9,46,50,NA,NA,70,50,50,NA,NA,62,NA,NA,NA,50,46,19,66,59,54,NA,40,NA,NA,3.499,119.55,120.705,31
23,2,4,"1,2,6",1,4,3,NA,NA,3,4,3,3,2,2,4,3,1,51,NA,1,NA,NA,44,NA,55,NA,50,50,NA,2,50,2,NA,25,50,NA,NA,45,52,72,48,NA,8.096,100.72,101.736,30
34,2,23,"1",1,1,2,NA,1,NA,1,4,3,1,1,1,3,2,56,100,100,100,NA,100,100,NA,NA,100,100,100,100,100,NA,NA,NA,NA,96,97,NA,NA,100,100,NA,14.803,91.331,94.366,29
60,2,48,"1",4,2,2,NA,2,NA,1,4,3,2,2,1,2,1,90,86,100,100,50,NA,85,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,90,90,85,0,90,30,17.366,168.934,170.315,22
25,2,10,"1",2,6,1,1,NA,NA,2,2,1,1,2,2,2,1,NA,51,NA,65,NA,54,72,54,NA,78,56,63,55,NA,NA,NA,68,NA,70,52,NA,54,75,NA,69,0.753,50.697,61.233,31
30,2,14,"2",3,1,3,NA,NA,2,4,4,3,2,1,1,2,2,100,75,100,100,70,100,20,NA,100,NA,NA,100,NA,NA,NA,100,100,NA,65,NA,80,NA,2,51,NA,30.402,131.073,132.472,41
21,2,48,"1",5,2,2,NA,1,NA,1,4,3,2,1,1,2,2,100,NA,100,100,71,100,100,NA,NA,NA,NA,100,NA,NA,48,78,100,NA,0,100,NA,56,NA,100,0,17.259,128.023,129.839,32
14,1,23,"7",2,4,3,NA,NA,3,3,4,3,3,4,4,4,2,20,30,13,54,NA,NA,24,44,NA,52,NA,50,35,56,36,22,NA,47,NA,NA,NA,NA,NA,21,40,2.199,43.801,151.453,27
51,1,36,"1",4,6,1,2,NA,NA,4,2,3,2,3,4,3,3,100,NA,50,NA,NA,75,NA,1,1,75,50,25,NA,NA,NA,1,NA,50,1,NA,75,1,1,NA,1,24.881,168.736,171.125,21
12,2,45,"1",2,4,3,NA,NA,3,2,3,3,2,1,1,1,1,NA,NA,50,NA,50,50,NA,50,50,50,50,50,50,50,NA,NA,50,50,NA,NA,50,50,NA,NA,50,1.377,101.632,102.38,43
39,2,10,"1",2,6,3,NA,NA,1,3,1,3,2,2,4,2,2,NA,NA,57,58,54,NA,62,NA,NA,59,51,53,55,55,52,52,NA,56,NA,53,56,NA,62,NA,NA,6.647,60.32,61.459,29
28,1,22,"1",4,7,1,1,NA,NA,4,1,3,1,1,3,4,4,27,NA,54,27,28,37,NA,NA,NA,NA,NA,14,0,56,88,NA,40,22,36,35,NA,51,NA,29,NA,14.801,60.461,61.566,41
